Rk,Cmp,Att,Cmp%,TotDist,Ast,xA,KP
272,1040,1332,78.1,17589,0,0.7,10
273,132,192,68.8,2533,1,0.8,10
274,10,19,52.6,148,0,0.2,1
275,298,386,77.2,5251,1,0.4,2
276,225,259,86.9,3150,1,1.0,13
277,46,71,64.8,525,0,0.2,3
278,623,884,70.5,20114,0,0.1,1
279,5,7,71.4,83,0,0.0,0
280,331,401,82.5,5983,1,0.6,12
281,3,3,100.0,45,0,0.0,0
282,426,573,74.3,6997,2,2.0,22
283,561,685,81.9,9310,1,3.4,33
284,286,383,74.7,4721,0,0.2,3
285,425,704,60.4,14558,0,0.0,0
286,1011,1122,90.1,15051,4,2.3,14
287,59,67,88.1,1821,0,0.0,0
288,205,255,80.4,3801,0,0.1,2
289,1244,1656,75.1,20897,1,3.5,34
290,86,106,81.1,1516,0,0.1,1
291,33,41,80.5,591,0,0.0,0
292,701,789,88.8,13746,0,0.4,2
293,480,699,68.7,11846,0,0.3,3
294,398,438,90.9,7458,1,0.4,7
295,50,68,73.5,686,0,0.1,3
296,878,1179,74.5,15926,1,1.2,16
297,646,901,71.7,11791,6,3.5,33
298,895,1194,75.0,17315,1,0.5,8
299,270,330,81.8,5730,0,0.4,9
300,509,781,65.2,8283,1,3.0,23
301,525,622,84.4,10231,0,0.2,4
302,2,3,66.7,37,0,0.0,0
303,671,908,73.9,10907,2,3.2,34
304,205,268,76.5,3814,1,0.4,4
305,615,990,62.1,21214,0,0.0,0
306,540,676,79.9,10016,1,2.2,24
307,668,956,69.9,13732,3,2.0,17
308,3,5,60.0,41,0,0.0,0
309,874,1040,84.0,16073,1,0.7,7
310,1532,1702,90.0,36584,2,1.5,4
311,155,199,77.9,2710,0,0.3,7
312,79,101,78.2,1868,0,0.1,2
313,221,283,78.1,3458,1,0.9,8
314,147,176,83.5,2720,0,0.0,0
315,76,93,81.7,1337,0,0.3,1
316,585,709,82.5,12587,0,0.3,6
317,698,919,76.0,13052,5,3.3,36
318,65,81,80.2,1130,0,0.1,2
319,840,986,85.2,11218,2,3.2,34
320,31,38,81.6,502,0,0.0,0
321,401,507,79.1,5726,1,1.5,16
322,793,959,82.7,15344,1,0.3,4
323,588,701,83.9,9030,5,2.5,27
324,146,209,69.9,2872,0,0.6,9
325,24,35,68.6,427,0,0.1,2
326,76,88,86.4,1761,0,0.0,1
327,575,670,85.8,11478,0,0.0,0
328,5,5,100.0,99,0,0.0,0
329,1829,2087,87.6,42155,0,0.9,11
330,181,263,68.8,3091,0,0.5,7
331,17,22,77.3,388,0,0.0,0
332,1,2,50.0,8,0,0.0,0
333,59,74,79.7,1437,0,0.0,0
334,995,1214,82.0,24980,0,0.5,5
335,59,76,77.6,954,0,0.2,2
336,59,79,74.7,891,0,0.0,0
337,408,600,68.0,6746,3,1.9,14
338,152,199,76.4,2257,2,1.0,6
339,696,964,72.2,13583,4,3.2,41
340,247,325,76.0,3762,2,2.7,15
341,118,147,80.3,2346,0,0.1,3
342,289,424,68.2,4935,1,1.7,21
343,127,170,74.7,4187,1,0.3,1
344,658,758,86.8,11293,2,0.6,8
345,924,1223,75.6,20444,2,2.3,26
346,3,6,50.0,63,0,0.0,0
347,188,276,68.1,3704,4,2.3,14
348,1219,1345,90.6,29167,1,1.0,3
349,772,891,86.6,17060,0,0.2,1
350,54,73,74.0,886,0,0.0,1
351,625,829,75.4,11205,1,1.7,19
352,323,411,78.6,5767,0,0.1,3
353,108,167,64.7,1703,2,0.3,8
354,99,128,77.3,1325,0,0.0,1
355,269,390,69.0,4023,1,1.1,12
356,3,3,100.0,122,0,0.0,0
357,82,117,70.1,1190,1,0.4,4
358,1395,1677,83.2,25259,7,5.6,38
359,187,212,88.2,4351,0,0.0,0
360,576,772,74.6,9704,1,1.6,19
361,174,236,73.7,2327,2,1.6,9
362,101,132,76.5,2698,0,0.0,0
363,569,822,69.2,10537,4,5.7,46
364,921,1125,81.9,19770,1,0.2,3
365,23,23,100.0,414,0,0.0,0
366,704,835,84.3,18033,0,0.1,2
367,274,343,79.9,3594,1,1.0,15
368,338,427,79.2,6083,0,0.1,3
369,2,2,100.0,13,0,0.0,0
370,239,293,81.6,6350,0,0.0,0
371,121,179,67.6,1938,0,0.4,5
372,990,1189,83.3,24792,1,0.5,4
373,664,1055,62.9,15086,4,3.6,54
374,276,340,81.2,4323,0,0.1,4
375,1905,2159,88.2,40559,6,2.8,39
376,567,678,83.6,12319,2,1.0,12
377,268,306,87.6,5979,0,0.0,0
378,261,296,88.2,6096,0,0.0,0
379,106,138,76.8,1741,1,1.2,13
380,22,27,81.5,324,1,0.4,1
381,139,212,65.6,2138,0,1.0,12
382,24,28,85.7,283,0,0.0,0
383,13,18,72.2,189,0,0.0,0
384,381,584,65.2,4536,2,1.0,12
385,1144,1534,74.6,20521,7,7.2,79
386,195,212,92.0,4527,0,0.2,1
387,411,655,62.7,6834,1,3.7,28
388,244,380,64.2,6711,0,0.1,1
389,207,302,68.5,2904,1,1.0,8
390,4,7,57.1,58,0,0.0,0
391,40,52,76.9,571,0,0.1,1
392,226,333,67.9,3022,2,1.2,6
393,831,1047,79.4,21508,0,0.0,0
394,1389,1841,75.4,23969,0,1.2,18
395,931,1089,85.5,16177,1,0.6,7
396,2331,2584,90.2,42547,2,2.7,22
397,902,1287,70.1,19192,1,1.4,14
398,449,696,64.5,15328,0,0.0,1
399,17,18,94.4,330,0,0.0,0
400,625,763,81.9,9863,0,0.5,7
401,85,138,61.6,2366,0,0.0,0
402,275,349,78.8,6649,0,0.1,2
403,121,165,73.3,3403,0,0.0,0
404,403,505,79.8,8262,1,0.6,9
405,104,155,67.1,1778,1,0.8,2
406,9,11,81.8,186,0,0.0,0
407,272,503,54.1,8768,0,0.2,2
408,553,819,67.5,13739,1,0.3,6
409,557,705,79.0,11570,0,0.5,5
410,1098,1306,84.1,22541,0,0.5,13
411,416,520,80.0,8754,4,2.0,12
412,120,189,63.5,1928,2,1.1,8
413,203,351,57.8,4411,2,1.8,15
414,75,92,81.5,1205,0,0.1,2
415,826,953,86.7,18611,1,0.2,2
416,321,404,79.5,4173,2,2.7,22
417,714,964,74.1,12771,1,0.9,5
418,945,1169,80.8,18603,1,0.7,13
419,10,14,71.4,186,0,0.0,0
420,381,424,89.9,7708,1,0.4,1
421,829,1122,73.9,15879,2,2.1,21
422,507,577,87.9,10183,0,0.0,1
423,941,1059,88.9,21303,1,0.3,3
424,1289,1649,78.2,23541,9,7.0,66
425,637,997,63.9,11598,2,3.5,39
426,993,1246,79.7,17855,7,6.4,65
427,199,365,54.5,2826,3,2.3,16
428,393,594,66.2,5941,1,1.0,15
429,388,463,83.8,6653,0,0.1,2
430,33,43,76.7,508,0,0.5,5
431,3,3,100.0,44,0,0.0,0
432,430,533,80.7,8342,1,1.6,14
433,879,985,89.2,18369,2,0.8,8
434,2,5,40.0,35,0,0.0,0
435,1650,2121,77.8,30022,7,5.1,74
436,153,198,77.3,3636,1,0.1,2
437,99,151,65.6,1404,0,0.1,2
438,651,739,88.1,13271,0,0.4,3
439,142,164,86.6,2309,0,0.6,5
440,1865,2221,84.0,35305,6,5.8,76
441,1008,1147,87.9,18391,0,1.7,15
442,1053,1371,76.8,21218,7,5.6,47
443,9,12,75.0,192,0,0.0,0
444,884,1107,79.9,13330,2,2.7,36
445,1188,1598,74.3,20061,4,3.4,26
446,646,790,81.8,10775,2,1.5,21
447,1158,1430,81.0,24229,3,3.1,19
448,189,256,73.8,2996,0,0.5,8
449,169,212,79.7,2727,0,1.4,15
450,636,813,78.2,8701,7,6.0,50
451,338,390,86.7,6084,0,0.3,5
452,134,163,82.2,2875,0,0.0,0
453,290,441,65.8,4836,3,1.8,17
454,135,184,73.4,2024,2,1.4,10
455,1600,1845,86.7,37196,0,0.5,8
456,623,797,78.2,12767,0,0.7,14
457,174,232,75.0,2708,2,0.7,11
458,502,542,92.6,10515,0,0.0,1
459,232,340,68.2,3313,2,0.3,11
460,134,207,64.7,2212,4,1.6,11
461,2058,2432,84.6,36020,5,4.3,42
462,13,27,48.1,356,0,0.0,0
463,564,634,89.0,10681,0,0.8,8
464,1826,2186,83.5,37514,3,0.4,9
465,445,507,87.8,10195,1,0.4,9
466,511,653,78.3,8675,0,1.4,10
467,952,1133,84.0,14493,2,2.5,25
468,720,985,73.1,24473,0,0.0,1
469,845,956,88.4,18409,0,0.1,4
470,422,560,75.4,6955,3,3.0,41
471,1177,1445,81.5,17880,2,0.9,19
472,166,213,77.9,2727,0,0.3,6
473,218,294,74.1,3711,0,0.5,8
474,922,1141,80.8,15550,2,2.7,35
475,377,454,83.0,7610,0,0.6,12
