Rk,Gls,Sh,SoT,SoT%,SoT/90,G/Sh,PK,PKatt,xG
2561,0,4,2,50.0,0.13,0.00,0,0,0.1
2562,0,0,0,,0.00,,0,0,0.0
2563,0,0,0,,0.00,,0,0,0.0
2564,0,0,0,,0.00,,0,0,0.0
2565,2,11,2,18.2,0.19,0.18,0,0,1.5
2566,0,3,2,66.7,0.23,0.00,0,0,0.3
2567,0,14,3,21.4,0.08,0.00,0,0,0.5
2568,0,0,0,,0.00,,0,0,0.0
2569,0,1,0,0.0,0.00,0.00,0,0,0.1
2570,2,8,3,37.5,0.65,0.25,0,0,1.7
2571,0,0,0,,0.00,,0,0,0.0
2572,1,25,7,28.0,0.39,0.04,0,0,1.0
2573,3,29,11,37.9,0.65,0.10,0,0,3.3
2574,2,23,11,47.8,0.52,0.09,0,0,1.9
2575,3,10,3,30.0,0.10,0.30,0,0,0.7
2576,23,87,38,43.7,1.13,0.22,4,5,19.8
2577,0,20,2,10.0,0.18,0.00,0,0,1.0
2578,6,60,26,43.3,0.92,0.10,0,0,6.7
2579,0,0,0,,0.00,,0,0,0.0
2580,1,38,8,21.1,0.26,0.03,0,0,1.7
2581,0,1,0,0.0,0.00,0.00,0,0,0.0
2582,0,3,0,0.0,0.00,0.00,0,0,0.2
2583,3,16,6,37.5,0.49,0.19,0,0,1.4
2584,0,1,0,0.0,0.00,0.00,0,0,0.0
2585,2,10,3,30.0,0.32,0.20,0,0,1.3
2586,2,28,8,28.6,0.56,0.07,0,0,3.1
2587,0,0,0,,0.00,,0,0,0.0
2588,0,7,1,14.3,0.04,0.00,0,0,0.2
2589,3,36,7,19.4,0.22,0.08,0,0,2.0
2590,0,1,0,0.0,0.00,0.00,0,0,0.1
2591,0,5,2,40.0,0.21,0.00,0,0,0.4
2592,0,4,0,0.0,0.00,0.00,0,0,0.1
2593,2,54,14,25.9,0.61,0.04,0,0,4.2
2594,6,23,8,34.8,0.27,0.04,5,5,4.9
2595,0,1,0,0.0,0.00,0.00,0,0,0.2
2596,3,41,11,26.8,0.56,0.02,2,2,5.6
2597,0,8,2,25.0,0.27,0.00,0,0,0.3
2598,1,4,2,50.0,0.11,0.25,0,0,0.3
2599,0,14,3,21.4,0.21,0.00,0,0,0.7
2600,1,10,5,50.0,0.30,0.10,0,0,0.9
2601,0,11,2,18.2,0.07,0.00,0,0,0.9
2602,0,9,2,22.2,0.06,0.00,0,0,0.2
2603,2,13,2,15.4,0.21,0.08,1,1,1.5
2604,2,22,9,40.9,0.37,0.09,0,0,2.4
2605,8,25,14,56.0,0.75,0.32,0,0,4.3
2606,0,0,0,,0.00,,0,0,0.0
2607,0,15,4,26.7,0.15,0.00,0,0,0.9
